year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb6e7118217,ca,34,40661,silver,black,avis corporation,13050,13000,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2014,Acura,ILX,Technology Package,Sedan,automatic,19vde1f70ee008913,ca,25,9051,gray,black,american honda motor company,22700,21250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca67fg570973,ca,5,13878,silver,black,kia motors america  inc,20600,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,automatic,yv1612sbxf1202276,ca,37,10906,silver,black,volvo na rep/world omni,31500,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4fn313644,ca,,10678,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15150,11600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c51ed129563,ca,42,7305,white,black,the hertz corporation,65000,66100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn331213,ca,1,4314,black,black,enterprise vehicle exchange / tra / rental / tulsa,15500,11500,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2015,Kia,K900,Luxury,Sedan,automatic,knalw4d42f6019667,ca,42,5304,blue,black,kia motors america  inc,39500,40000,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca63fg570727,ca,48,10357,silver,gray,kia motors america  inc,20700,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Malibu,LT,Sedan,automatic,1g11d5sl6fu106427,ca,1,6105,silver,black,enterprise vehicle exchange / tra / rental / tulsa,16600,9800,Wed Jan 14 2015 07:05:00 GMT-0800 (PST)
2015,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba7fc155782,ca,43,7770,white,black,lexus financial services,41200,38400,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xykt3a62fg579841,ca,5,5214,white,black,kia motors finance,19400,19300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c51ed097712,ca,47,7766,gray,black,fratelli investment group,71000,77250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,K900,Luxury,Sedan,automatic,knalw4d42f6018633,ca,44,9684,white,gray,kia motors america  inc,41000,41000,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff6f1029938,ca,2,31,white,black,enterprise vehicle exchange / tra / rental / tulsa,24200,17300,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2015,Nissan,Versa,1.6 SL,Sedan,manual,3n1cn7ap7fl842707,ca,39,1608,purple,black,nissan-infiniti lt,10900,11000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e35e9238493,ca,31,9914,black,black,midway hfc fleet/ars,22500,20600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh565969,ca,1,7879,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,10500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca6xfg560888,ca,5,14176,white,black,kia motors america  inc,20600,21250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e33e9211499,ca,41,17594,gray,black,midway hfc fleet/ars,21500,19600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff1f1002467,ca,5,1906,gray,black,audi north scottsdale,24100,25750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c55ed169261,ca,4,8037,black,black,the hertz corporation,67000,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2015,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp8fl371361,ca,2,5773,red,black,enterprise vehicle exchange / tra / rental / tulsa,12050,9000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2014,Audi,A8,L 3.0T quattro,Sedan,automatic,waurgafd8en003111,ca,43,32918,black,black,audi west covina,62000,50000,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2014,BMW,X1,sDrive28i,SUV,automatic,wbavm1c53evw47779,ca,48,19689,white,black,financial services remarketing (lease),23700,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,,750Li,Sedan,automatic,wbaye8c59ed134514,ca,43,12172,black,black,financial services remarketing (lease),67000,66000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e31e9248986,ca,1,20595,red,gray,enterprise vehicle exchange / tra / rental / tulsa,20800,13600,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb8f1201529,ca,4,13623,silver,black,volvo na rep/world omni,28400,28000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Coupe,automatic,wbaym9c53ed248064,ca,4,9837,black,—,financial services remarketing (lease),62000,61500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
